size_mb,roadrunner_s,runc_s,wasmedge_s
1,0.01584817,0.016943424,0.031276995
2,0.024283854,0.026081306,0.061066992
4,0.04662707,0.045366211,0.123356257
6,0.067733272,0.07086706,0.179727139
8,0.089137347,0.089162357,0.239485398
10,0.110895841,0.108396817,0.294066686
20,0.22340559,0.221741186,0.665802532
40,0.443513472,0.441443239,1.147174793
60,0.665291429,0.666425047,1.717111752
100,1.096841077,1.170065379,2.846533533
200,2.175550475,2.193611463,5.686136555
300,3.2483455,3.257871917,8.530595634
400,4.323522169,4.480623192,11.21562048
500,5.403399843,5.634359895,14.01226901
