size_mb,rr_user_mb,rr_kernel_mb,runc_mb,wasmedge_mb
1,1.96484375,0.3322000504,2.753118515,19.3753376
2,4.602864265,4.360235214,3.528754234,22.46844006
4,5.822265625,8.045689583,3.307908058,28.32972813
6,10.63616085,9.532335281,5.004609108,34.67586327
8,16.0792408,16.9376812,5.71812439,40.47726631
10,17.75434017,17.98798943,5.747559547,46.9654274
20,38.32319069,37.40220451,10.98856544,77.86879826
40,77.49305534,71.67125607,22.54848099,140.2974014
60,116.8256187,114.8249922,32.85889626,203.90201
100,191.3194447,187.7612457,60.70131493,334.1113338
200,377.8373184,368.4840965,144.5959988,668.6525545
300,570.2196445,567.4835672,237.4037428,1000.893104
400,746.3459463,750.9654312,332.9478502,1320.099354
500,939.7390747,947.1525288,430.0880623,1651.726071
