size_mb,rr_user_frac,rr_kernel_frac,runc_frac,wasmedge_frac
1,0,0.014642610337414885,0.00447112151492882,0
2,0.0019499230526074352,0.012108279318025847,0.005127532085322014,0.002294565274577235
4,0.0026430589236134117,0.01444860180545316,0.006079946719127645,0.009959637499583009
6,0.004001201025356781,0.015662394763913776,0.007239016440039205,0.016820451910802232
8,0.005019103328295491,0.015724774542642057,0.0069539108486540435,0.021528511991476006
10,0.00969612319049907,0.01658176140281733,0.00798523157592905,0.02828206186647717
20,0.017884487449701045,0.022800847168888538,0.01125948627512101,0.058048701816963845
40,0.026349527815719292,0.031574785547634356,0.017573166008434095,0.1161032929637782
60,0.043943019298730006,0.04502890975295634,0.023522052440975393,0.1734495777107376
100,0.0856710663790855,0.060806939633111554,0.03520958265921262,0.26103953257407203
200,0.13024132509056846,0.11091864659650857,0.07387762581989883,0.5334111805197518
300,0.1712329422837665,0.1620621915055442,0.11090852495051276,0.6919396634435127
400,0.21151315751307143,0.20497414379599366,0.15225840095831417,0.8282774010273672
500,0.21151315751307143,0.24664968679120003,0.18524476448675506,1
