size_mb,rr_user_s,rr_kernel_s,runc_s,wasmedge_s
1,0.002651398,0.172777548,0.013743874,0.02047139
2,0.004844997,0.162797139,0.015905718,0.041028107
4,0.007860746,0.168483941,0.020881862,0.080844818
6,0.012865471,0.169925228,0.037629042,0.124405026
8,0.017136172,0.1923604,0.047451151,0.159786973
10,0.019650012,0.199505978,0.037798541,0.211448167
20,0.042810629,0.216750801,0.108169304,0.417255032
40,0.092864548,0.292494989,0.175519354,0.823652626
60,0.133615734,0.360004532,0.232459369,1.234090882
100,0.229661058,0.482517458,0.323340926,2.029960837
200,0.458891122,0.798257376,0.658950747,3.996117006
300,0.698622111,1.072819578,1.13615253,5.95773187
400,0.918272117,1.413992341,1.413750293,8.0134937
500,1.099313979,1.641452196,1.886698061,9.787875963
